,open_sample_0,high_sample_0,low_sample_0,close_sample_0,volume_sample_0,amount_sample_0,open_sample_1,high_sample_1,low_sample_1,close_sample_1,volume_sample_1,amount_sample_1,open_sample_2,high_sample_2,low_sample_2,close_sample_2,volume_sample_2,amount_sample_2,open_sample_3,high_sample_3,low_sample_3,close_sample_3,volume_sample_3,amount_sample_3,open_sample_4,high_sample_4,low_sample_4,close_sample_4,volume_sample_4,amount_sample_4,open_sample_5,high_sample_5,low_sample_5,close_sample_5,volume_sample_5,amount_sample_5,open_sample_6,high_sample_6,low_sample_6,close_sample_6,volume_sample_6,amount_sample_6,open_sample_7,high_sample_7,low_sample_7,close_sample_7,volume_sample_7,amount_sample_7,open_sample_8,high_sample_8,low_sample_8,close_sample_8,volume_sample_8,amount_sample_8,open_sample_9,high_sample_9,low_sample_9,close_sample_9,volume_sample_9,amount_sample_9,open_sample_10,high_sample_10,low_sample_10,close_sample_10,volume_sample_10,amount_sample_10,open_sample_11,high_sample_11,low_sample_11,close_sample_11,volume_sample_11,amount_sample_11,open_sample_12,high_sample_12,low_sample_12,close_sample_12,volume_sample_12,amount_sample_12,open_sample_13,high_sample_13,low_sample_13,close_sample_13,volume_sample_13,amount_sample_13,open_sample_14,high_sample_14,low_sample_14,close_sample_14,volume_sample_14,amount_sample_14,open_sample_15,high_sample_15,low_sample_15,close_sample_15,volume_sample_15,amount_sample_15,open_sample_16,high_sample_16,low_sample_16,close_sample_16,volume_sample_16,amount_sample_16,open_sample_17,high_sample_17,low_sample_17,close_sample_17,volume_sample_17,amount_sample_17,open_sample_18,high_sample_18,low_sample_18,close_sample_18,volume_sample_18,amount_sample_18,open_sample_19,high_sample_19,low_sample_19,close_sample_19,volume_sample_19,amount_sample_19
2025-10-19 12:00:00,107969.36,108175.72,107623.36,107894.88,505.3828,53859756.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,107925.055,108000.85,107573.54,107784.05,371.40973,38560730.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,108086.695,108499.164,107873.59,108306.9,202.13123,17355680.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,107997.81,108219.25,107924.48,108142.65,364.2771,38103530.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,107925.055,108000.85,107573.54,107784.05,371.40973,38560730.0,107969.36,108175.72,107623.36,107894.88,505.3828,53859756.0,107997.81,108219.25,107924.48,108142.65,364.2771,38103530.0,107925.055,108000.85,107573.54,107784.05,371.40973,38560730.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,107925.055,108000.85,107573.54,107784.05,371.40973,38560730.0,107969.36,108175.72,107623.36,107894.88,505.3828,53859756.0,107925.055,108000.85,107573.54,107784.05,371.40973,38560730.0,107997.81,108219.25,107924.48,108142.65,364.2771,38103530.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,107956.71,107995.71,107704.62,107838.0,228.20032,23650312.0,108045.586,108467.15,107930.45,108288.83,658.4579,69971090.0
2025-10-19 13:00:00,107953.11,108403.305,107875.55,108288.31,487.05692,51405452.0,107775.37,108109.22,107602.37,107961.65,430.16858,45709320.0,107752.8,107957.445,107589.22,107859.28,334.98743,35089256.0,107747.31,107962.26,107582.52,107863.695,303.461,31738192.0,108334.67,108468.74,107890.766,108120.59,434.1446,46776360.0,107747.31,107962.26,107582.52,107863.695,303.461,31738192.0,108152.05,108400.24,108117.266,108337.19,328.19727,34650810.0,107748.234,108169.63,107574.11,108022.586,610.23065,65198388.0,107704.71,107701.32,107264.195,107357.35,407.19012,42891730.0,107766.35,108331.8,107685.95,108044.734,862.7271,93526860.0,108152.05,108400.24,108117.266,108337.19,328.19727,34650810.0,107752.8,107957.445,107589.22,107859.28,334.98743,35089256.0,107714.15,107796.86,107276.19,107486.28,501.4076,52530290.0,107752.8,107957.445,107589.22,107859.28,334.98743,35089256.0,107857.57,108028.34,107637.75,107897.984,367.96393,38654240.0,107693.27,107928.71,107351.95,107678.15,747.62463,78912020.0,108090.65,108184.24,107862.836,108019.94,337.341,35419504.0,107747.31,107962.26,107582.52,107863.695,303.461,31738192.0,107771.93,107914.13,107690.23,107870.766,164.98682,17538240.0,108186.34,108208.61,107858.13,107976.38,407.08917,42974176.0
2025-10-19 14:00:00,108237.234,108661.48,108003.55,108349.78,950.901,102563496.0,107925.19,108045.65,107812.17,107962.97,182.77344,19755040.0,107844.34,108638.93,107886.06,108506.74,970.5835,104293700.0,107825.29,108000.11,107688.19,107915.12,297.17493,31166816.0,108173.555,108185.98,107627.25,107774.79,515.42285,54447260.0,107834.43,108138.39,107684.96,108001.61,424.04028,44806056.0,108309.16,108371.13,108078.1,108190.53,312.7226,32955552.0,108001.914,108509.1,107964.27,108381.195,695.2776,74337600.0,107349.94,107500.23,107049.39,107323.66,513.4269,53489110.0,108010.28,108218.34,107760.52,108013.9,559.2916,59652744.0,108358.305,108570.76,108305.3,108488.96,304.54016,32252872.0,107841.04,108014.82,107681.47,107917.78,313.06024,32798368.0,107383.484,108140.29,107381.195,108036.13,929.2025,99208600.0,107841.04,108014.82,107681.47,107917.78,313.06024,32798368.0,107918.48,108266.016,107919.69,108244.67,327.22998,34409576.0,107611.8,107802.016,107251.07,107560.56,814.70166,85804170.0,107971.03,107993.08,107511.73,107667.984,510.38882,53426570.0,107813.51,107958.28,107739.516,107902.664,156.40625,16916440.0,107776.41,107789.59,107670.875,107730.78,64.58038,6773336.0,108078.055,108376.48,108040.08,108326.65,345.8316,36493030.0
2025-10-19 15:00:00,108305.02,108413.266,107459.5,107765.67,1496.354,159884880.0,107849.88,108018.02,107696.49,107922.04,293.02155,30656256.0,108456.914,109293.06,108291.41,109014.72,1435.9265,154883520.0,107909.44,108243.33,107925.945,108242.93,298.62787,31238728.0,107702.16,108084.42,107574.54,107959.62,478.20428,50928990.0,107870.945,107836.55,107374.055,107430.766,258.44006,27682120.0,108200.555,108603.26,107886.81,108468.16,299.422,31596944.0,108414.1,108802.98,108152.27,108584.71,689.9389,72840980.0,107341.2,107953.89,107087.93,107886.72,362.68268,37449150.0,108023.84,108707.984,108031.38,108496.46,1050.552,113070120.0,108483.19,108684.1,108404.65,108586.945,300.26,31824024.0,107873.984,108033.3,107701.86,107933.055,309.52722,32329096.0,107900.86,107977.97,107604.94,107787.24,448.20026,47249068.0,107865.96,107996.945,107752.65,107918.21,169.78198,18374824.0,108180.49,108251.14,107953.055,108087.07,325.43524,34159290.0,107500.39,107683.02,107126.375,107439.95,861.80347,90576300.0,107587.06,107840.86,107304.25,107649.68,743.7645,78506320.0,107827.32,108197.59,107685.97,108056.0,583.6853,62025056.0,107652.69,107809.484,107611.93,107794.57,98.14197,10907944.0,108209.44,108615.86,108070.18,108290.35,812.22534,88026810.0
2025-10-19 16:00:00,107647.266,108251.12,107381.82,107936.78,406.44653,38068330.0,107862.97,107993.21,107769.055,107926.19,164.75238,17970144.0,108949.7,109128.766,107923.05,108431.23,1717.9906,184249300.0,108143.99,108540.586,108034.414,108217.72,796.5731,86419210.0,107950.41,108213.07,107736.35,108029.2,501.4903,53465404.0,107458.4,107680.08,107418.58,107666.08,178.27234,19303128.0,108714.86,109655.85,108339.0,109079.586,835.4007,91185100.0,108626.1,108663.36,108369.72,108466.766,422.43176,45267200.0,108015.23,108600.73,107617.53,108150.914,1240.5314,134704860.0,108574.77,108788.28,107371.89,107939.25,1532.781,165688700.0,108541.24,108695.55,108445.336,108633.38,210.42615,21828928.0,107865.695,107878.86,107407.93,107572.83,516.19635,54059630.0,107745.73,108030.41,107326.16,107709.57,1123.3977,119708220.0,107870.21,108034.625,107698.64,107934.33,289.7171,30209888.0,108019.22,108019.71,107538.66,107683.53,523.3062,54938124.0,107391.14,107802.86,107217.48,107641.92,817.6598,86278130.0,107341.08,107631.69,106693.62,107505.43,1222.0397,132523440.0,107913.82,108343.26,107834.61,108072.14,844.37445,91263350.0,107703.52,107885.59,107601.28,107822.305,255.90161,26762664.0,108290.36,108881.25,108222.19,108658.625,1078.3143,116212380.0
2025-10-19 17:00:00,107895.82,107971.29,107606.14,107779.305,299.12793,31531128.0,107922.89,107949.086,107791.57,107865.02,69.640686,7519992.0,108465.26,108745.67,107941.414,108369.45,652.25696,70406930.0,108187.875,108538.36,108041.96,108237.43,882.9431,95921784.0,108064.05,108286.164,107825.766,108084.266,503.17853,53799496.0,107709.67,107841.66,107641.195,107798.516,146.75598,16088600.0,109280.32,109332.1,108695.69,108794.96,411.03906,46471190.0,108617.11,108823.42,108273.734,108469.13,400.66754,44844296.0,108140.1,108201.055,107793.64,107914.086,336.45782,35337424.0,107813.85,108005.95,107445.22,107702.05,613.3116,64379640.0,108664.25,108711.34,108447.23,108542.76,163.28479,18172120.0,107445.516,108099.25,107285.16,108050.76,812.1535,85845660.0,107727.84,108030.08,107699.836,107937.0,264.22357,27878624.0,107975.5,108087.35,107855.055,108003.96,157.35754,17192592.0,107729.44,107936.76,107658.49,107872.08,213.45648,23151256.0,107628.12,107867.734,107346.82,107611.94,642.3976,67652420.0,107707.94,107843.42,107251.39,107460.75,597.77747,64761360.0,108134.55,108193.164,107855.63,108021.09,420.94745,44560776.0,107811.484,108077.695,107611.125,107984.22,178.48395,15442736.0,108599.47,108810.98,108203.83,108332.805,955.2828,103797680.0
2025-10-19 18:00:00,107923.445,107915.484,107727.805,107799.55,126.304565,12708880.0,107916.23,108034.21,107849.92,107998.945,85.33862,9700664.0,108603.71,108743.336,108102.83,108302.125,540.60046,58853324.0,108362.6,108550.99,108238.164,108452.16,403.84808,43108544.0,108117.06,108226.06,107972.56,108122.305,214.21075,23180528.0,107818.16,107830.64,107703.78,107756.61,51.502747,5711976.0,109151.45,109442.11,108733.875,108937.586,272.2185,31194560.0,108583.67,108589.75,108398.33,108446.73,124.40662,13241800.0,107994.22,108090.32,107796.69,107958.84,234.26996,24652288.0,107801.35,107963.15,107620.734,107814.016,316.7401,32895544.0,108536.04,108607.7,108405.08,108512.0,124.536865,13977152.0,108087.76,108105.234,107723.95,107841.16,426.73914,45362200.0,108031.96,108082.82,107814.02,107927.94,225.42194,23774488.0,108033.21,108125.71,107932.664,108062.055,121.73047,13451352.0,107934.25,108056.41,107839.2,107994.34,162.53595,17700376.0,107674.3,108039.484,107493.65,107832.945,810.353,86409980.0,107640.77,107670.86,107380.69,107464.02,212.29437,21875848.0,108067.164,108209.73,107869.78,108069.82,344.08307,36197400.0,107980.02,108004.58,107481.79,107631.38,422.4911,44581384.0,108418.49,108499.016,108075.195,108239.47,485.1123,51544384.0
2025-10-19 19:00:00,107809.63,107828.29,107700.586,107779.76,56.01941,5525216.0,107932.86,107936.805,107840.02,107884.336,16.851685,1979288.0,108506.266,108631.25,108142.03,108340.04,427.1117,45442110.0,108490.33,108626.24,108407.61,108590.02,234.21472,24001176.0,108111.66,108120.93,107975.2,108038.266,77.760254,8219160.0,107680.086,107917.84,107610.9,107872.336,209.7168,21871208.0,108930.734,109275.62,108731.74,109034.35,142.4386,10666696.0,108400.53,108501.11,108296.36,108432.66,116.34497,12871416.0,107911.76,108101.36,107704.75,107970.13,309.3805,32179832.0,107837.05,108200.72,107586.93,108031.19,667.3141,70891120.0,108434.42,108451.625,108317.13,108376.17,47.918945,5381288.0,107936.1,108031.91,107761.695,107895.91,221.2818,23820216.0,107914.25,108013.21,107797.41,107944.94,165.19751,17509096.0,107959.87,107895.94,107508.47,107546.41,163.8515,17673944.0,107980.63,108002.9,107849.086,107917.77,62.69861,6644800.0,107882.97,108201.555,107666.84,108004.02,752.0287,80335260.0,107463.09,107513.09,107312.04,107404.125,94.08411,9126656.0,108035.86,108102.01,107886.44,107986.74,91.63263,9482712.0,107658.22,107880.8,107570.086,107837.34,276.22278,29019440.0,108256.83,108668.766,107941.336,108480.89,375.47803,39988070.0
2025-10-19 20:00:00,107788.836,107936.4,107735.18,107923.94,98.32367,10744664.0,107833.26,107965.72,107799.95,107946.62,55.605957,6655336.0,108236.41,108260.44,107714.92,107867.26,570.23694,59771516.0,108589.16,108636.125,108282.22,108414.805,286.50775,30250248.0,107956.7,107939.05,107492.57,107576.734,303.4215,31771176.0,107834.914,107954.59,107756.664,107899.79,101.401306,11453792.0,109184.2,109295.79,109080.25,109223.734,67.20984,7278712.0,108315.68,108457.49,108159.95,108327.04,234.85498,24618984.0,107869.29,107916.85,107727.03,107805.055,88.73895,9233376.0,107977.63,108097.42,107475.44,107729.83,829.9764,87599890.0,108326.14,108428.734,108250.79,108381.62,69.634155,8250200.0,107885.914,107999.79,107760.31,107926.93,167.18146,18006296.0,107827.734,108030.18,107696.95,107933.74,271.16077,28244736.0,107514.22,107530.08,107208.33,107302.24,161.05688,17208992.0,107880.29,108009.266,107811.43,107977.305,89.221436,10105664.0,107893.336,108034.59,107634.33,107832.32,450.6493,46955348.0,107401.57,107452.84,107287.46,107379.81,43.841553,4012064.0,107948.14,108002.52,107807.2,107919.44,39.272583,3840864.0,107842.9,108001.44,107722.62,107945.31,270.13684,28052520.0,108567.29,108581.91,108150.1,108302.3,345.8338,36454320.0
2025-10-19 21:00:00,107896.23,107993.25,107822.97,107949.13,111.354675,12177288.0,107888.836,107998.06,107846.98,107963.11,64.29486,7626624.0,108021.85,108613.125,107876.57,108423.29,235.29486,20850776.0,108376.984,108487.06,108239.48,108389.55,155.77051,17129864.0,107510.9,107567.64,107222.09,107363.39,331.67242,34766520.0,107867.625,107975.43,107796.086,107928.66,92.79773,10589360.0,109259.484,109340.62,109088.14,109128.89,214.4212,23082056.0,108276.57,108407.67,108127.14,108289.05,264.7602,27819912.0,107773.84,107933.37,107684.25,107895.336,117.239746,12754432.0,107701.016,107761.41,107215.5,107404.77,660.38086,69016100.0,108343.32,108427.37,108269.08,108372.67,73.75342,8724984.0,107908.28,107945.44,107754.555,107848.72,72.03552,7703272.0,107876.74,107922.73,107727.47,107829.86,83.49408,8871256.0,107305.94,107617.95,107265.875,107642.25,246.57336,25419576.0,107901.1,108073.01,107792.29,107999.0,224.72894,23308336.0,107877.5,108010.33,107847.31,107975.2,93.37042,9502000.0,107275.59,107344.65,106943.45,107092.984,287.3994,29535648.0,107912.664,108039.805,107832.5,108016.68,74.12561,8322968.0,107921.51,108035.77,107817.29,107971.91,132.82227,14638256.0,108406.266,108549.77,108151.15,108364.14,323.79047,33971976.0
2025-10-19 22:00:00,107916.29,108013.22,107843.41,107963.32,115.2337,12686184.0,107914.47,107914.14,107826.58,107873.85,9.619751,1542312.0,108585.73,108654.36,108430.82,108517.85,149.46918,15941392.0,108359.39,108457.13,108238.055,108386.09,132.76392,14660904.0,107394.38,107653.74,107384.96,107633.99,161.0863,17755896.0,107899.53,108006.35,107836.664,107966.414,84.68268,9843568.0,109247.74,109521.49,109032.06,109315.234,109.06531,8035224.0,108308.48,108438.58,108131.836,108309.14,277.16583,29112480.0,107903.75,108015.766,107808.39,107964.22,115.171814,12686800.0,107382.2,107729.08,107235.195,107609.36,456.06445,47521516.0,108364.83,108443.07,108292.445,108384.414,75.21332,8963424.0,107817.04,108043.96,107685.74,107966.72,233.30109,24077032.0,107753.81,107756.14,107317.38,107436.54,311.93298,32527248.0,107701.08,107832.875,107604.44,107773.664,123.47156,13745048.0,107995.18,108027.26,107855.27,107942.875,53.741394,6309720.0,108191.0,108608.61,107816.586,108255.53,229.71344,24805248.0,107081.984,107203.64,107029.51,107140.805,69.14545,7307880.0,107997.19,108090.11,107920.41,108046.18,87.17212,9766352.0,107961.79,108063.76,107867.945,108016.34,108.540955,12178328.0,108433.9,108788.49,108314.52,108702.67,453.388,47868708.0
2025-10-19 23:00:00,107945.83,108047.64,107885.52,108002.4,102.52777,11500336.0,107870.97,108006.63,107840.03,107986.75,42.808716,5492032.0,108624.09,108587.83,108354.055,108384.17,93.374146,9517016.0,108383.914,108468.2,108274.78,108405.49,113.84088,12714112.0,107664.27,107811.94,107584.055,107771.95,139.4029,15305304.0,107888.47,107909.125,107807.914,107881.29,18.728699,2656800.0,109339.18,109333.42,109048.91,109088.35,100.11676,11325568.0,108353.98,108471.055,108224.43,108378.77,140.85364,15566192.0,107995.87,108090.195,107904.4,108030.7,107.2077,11953360.0,107656.48,107836.84,107519.7,107736.79,264.2069,27804456.0,108382.59,108461.99,108321.23,108409.305,67.88513,8268168.0,107939.74,108100.125,107797.74,108011.555,260.27466,26973864.0,107431.31,107581.05,107399.86,107533.93,63.833496,7088968.0,107789.836,107905.69,107710.74,107858.26,101.52063,11532704.0,107903.734,108107.12,107792.16,108046.04,213.99884,22171696.0,108144.42,108374.38,107883.78,108171.83,416.97614,44256800.0,107181.195,107267.84,107086.42,107199.375,39.978638,3990960.0,108000.33,108011.766,107894.93,107952.195,26.945374,3029672.0,107983.47,108011.63,107879.555,107957.96,29.038208,3464512.0,108786.36,109032.31,108710.195,109010.27,219.60706,23417592.0
